Country,Capital,Continent
Åland Islands,Mariehamn,Europe
Albania,Tirana,Europe
Andorra,Andorra la Vella,Europe
Austria,Vienna,Europe
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Bosnia and Herzegovina,Sarajevo,Europe
Bulgaria,Sofia,Europe
Croatia,Zagreb,Europe
Czechia,Prague,Europe
Denmark,Copenhagen,Europe
Estonia,Tallinn,Europe
Faroe Islands,Tórshavn,Europe
Finland,Helsinki,Europe
France,Paris,Europe
Germany,Berlin,Europe
Gibraltar,Gibraltar,Europe
Greece,Athens,Europe
Guernsey,Saint Peter Port,Europe
Hungary,Budapest,Europe
Iceland,Reykjavík,Europe
Ireland,Dublin,Europe
Isle of Man,Douglas,Europe
Italy,Rome,Europe
Jersey,Saint Helier,Europe
Kosovo,Pristina,Europe
Latvia,Riga,Europe
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Malta,Valletta,Europe
Moldova,Chisinau,Europe
Montenegro,Podgorica,Europe
Netherlands,Amsterdam,Europe
North Macedonia,Skopje,Europe
Norway,Oslo,Europe
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Principality of Monaco,Monaco,Europe
Romania,Bucharest,Europe
Russia,Moscow,Europe
San Marino,San Marino,Europe
Serbia,Belgrade,Europe
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Spain,Madrid,Europe
Svalbard,Longyearbyen,Europe
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Ukraine,Kiev,Europe
United Kingdom,London,Europe
Anguilla,The Valley,America
Antigua and Barbuda,Saint John’s,America
Argentina,Buenos Aires,America
Aruba,Oranjestad,America
Bahamas,Nassau,America
Barbados,Bridgetown,America
Belize,Belmopan,America
Bermuda,Hamilton,America
Bolivia,Sucre,America
Brazil,Brasilia,America
British Virgin Islands,Road Town,America
Canada,Ottawa,America
Cayman Islands,George Town,America
Chile,Santiago,America
Colombia,Bogota,America
Costa Rica,San José,America
Cuba,Havana,America
Curacao,Willemstad,America
